condition,M0,knockdown_pct,t50_hr,F_max,fraction_aggregated_at_200hr,AUC_0_200hr
Baseline,1.0,0%,>200,0.05450762,0.05450762,3.73252766
50% KD,0.5,50%,>200,0.00717883,0.01435767,0.48415494
82% KD (top gRNA),0.18,82%,>200,0.00034475,0.0019153,0.02307096
